Input;Output
Она тотчас же поняла, что Левин понимает это. ;Предложение правильное.
Разве можно так жить ;Предложение правильное.
Однажды в одной из школ города Таллина приехал иностранный профессор , который знал много разных языков .;Ошибка: одной. Нужно использовать: винительный падеж. Правильно: одну
В москву я очень люблю ходить пешком .;Ошибка: Москву. Нужно использовать: творительный падеж. Правильно: Москве
Они очень весёлых и спортивные .;Ошибка: весёлых. Нужно использовать: именительный падеж. Правильно: весёлые
Это  было  очень  интересный  год,  конечно,  а  в  гимназии  я  мог  учиться  больше  предметы  чем  раньше.;Ошибка: предметы. Нужно использовать: родительный падеж. Правильно: предметов
Но  Наруто  будет  добиваться  их  признанию.;Ошибка: признанию. Нужно использовать: родительный падеж. Правильно: признания
Это  не  друг,  по-моему,  даже  хотя  так  названно  на  фейсбук  или  в  разговорах.;Ошибка: фейсбук. Нужно использовать: предложный падеж. Правильно: фейсбуке
 Ты вот что... – дворник неожиданно крепко взял его за руки. ;Предложение правильное.
Адвокат оказывает юридической помощи человеку и защищает его интерсы и права в судебной процессе.;Ошибка: помощи. Нужно использовать: винительный падеж. Правильно: помощь
"Борщ  тоньше  солянки  и  выгладить  менее  аппетитный.  вкус	 Вкус  острее,  кислее.";Ошибка: аппетитный. Нужно использовать: творительный падеж. Правильно: аппетитным
Я  очень  хочу  ходить  в  театр  с  семью.;Ошибка: семью. Нужно использовать: творительный. Правильно: семьёй
Через две минуты она всё положила назад в портфель, встала, вышла из комнаты. ;Предложение правильное.
 робко сказал он, глядя на подбегавшую к нему Анну;Предложение правильное.
 пролетело в моей голове. ;Предложение правильное.
У нас, например, в Голливуде столько известных» людей, которые говорят не просто мат, а вообше на каком-то непонятном английском.;Ошибка: мат. Нужно использовать: творительный падеж. Правильно: матом
Думаю  что  будушем  у  меня  хватит  сила  воли  что  бы  оставить  свои  недостатки  в  прошлом.;Ошибка: сила. Нужно использовать: родительный падеж. Правильно: сил
Дарья Александровна наблюдала эту новую для себя роскошь и как хозяйка  хотя и не надеясь ничего из виденного использовать в своём доме, так это всё по роскоши было выше её образа жизни. ;Предложение правильное.
 Да, очень покрепче;Предложение правильное.
Как  ты  были,  что  ты  делали  и  что  ты  интересует,  сейчас.;Ошибка: ты. Нужно использовать: винительный падеж. Правильно: тебя
"Он боялся этого; но ему так хотелось избежать объяснений, что он уехал на выборы без объяснений.";Предложение правильное.
После неё Германн решился подойти к гробу. ;Предложение правильное.
Знаю  что  в  жизни  не  бывает  человек  без  мечты.;Ошибка: человек. Нужно использовать: родительный падеж. Правильно: человека
Вас действительно интересует, как я спал эту ночь ;Предложение правильное.
Я не про Белоконскую одну говорю: дрянная старушонка, да умна и их всех в руках умеет держать. ;Предложение правильное.
Разные  аспекты  проблемы  миграции  в  США  и  Норвегии   Миграция  всегда  был  важный  вопрос  в  общество  и  сегодня  это  вопрос  болле  важный  чем  когда-либо.;Ошибка: общество. Нужно использовать: предложный падеж. Правильно: обществе
Очень  холодный,  мне  не  нравится,  я  думаю,  что  еда …,  я  хочу  ем  много  фрукты,  груш,  овощи,  но  это  не  очень  необычно. -;Ошибка: овощи. Нужно использовать: родительный падеж. Правильно: овощей
Скажите , сколько годы Джонатану ;Ошибка: годы. Нужно использовать: родительный падеж. Правильно: лет
Первое было в ночь перед день рождения.;Ошибка: день. Нужно использовать: творительный падеж. Правильно: днем
Важно знать , что он любит и какие у него интересы .;Ошибка: какие. Нужно использовать: винительный падеж. Правильно: какие
 Я просил тебя не ездить, я знал, что тебе будет неприятно…  Неприятно ;Предложение правильное.
Когда  мне  кажется  у  меня  хватает  сон,  я  встаю  с  довольными.;Ошибка: сон. Нужно использовать: родительный падеж. Правильно: сна
Мы  должны  попытаться  делать  всё  что  в  нашей  руки,  в  нашей  силы,  чтобы  спасти  природу  от  загрязнение,  беречь  и  делать  всё  чтобы  наша  страна  процветала.;Ошибка: загрязнение. Нужно использовать: родительный падеж. Правильно: загрязнения
Завтра у нас обедать ;Предложение правильное.
 Все в клубе говорят только о вас. ;Предложение правильное.
андрея начал бегать , когда ему было 52 года .;Ошибка: андрея. Нужно использовать: именительный падеж. Правильно: Андрей
Германн поднялся по лестнице, открыл двери в коридор и увидел слугу, который спал под лампой, в старинном грязном кресле. ;Предложение правильное.
В  России  есть  много  университеты  которые  принимает  иностранных  студентов,  изучающих  медицину,  например:  Московский  государственный  медицинский  университет  И. М.  Сеченова  и  государственный  медицинский  университет  имени  академика  И. П.  Павлова -  известные  медицинские  университеты  в  мире.;Ошибка: университеты. Нужно использовать: родительный падеж. Правильно: университетов
В пятницей я и моя подруга Анна идём в театр на оперу .;Ошибка: пятницей. Нужно использовать: винительный падеж. Правильно: пятницу
Обычно на обедом я ем салат , рыбу и макароны .;Ошибка: обедом. Нужно использовать: винительный падеж. Правильно: обед
Так в русского язык пришли слова радио , аппарат , метро , пальто , кофе , театр , кино , шарф и много других слов .;Ошибка: русского. Нужно использовать: винительный падеж. Правильно: русский
С  одной  стороны,  сожжение  романа  является  следствием  его  трусливого  характера,  а  с  другой  стороны  это  исходит  из  того,  что  у  Мастера  не  достаточна  вера  в  себе,  в  Маргарите,  и  важнее  всего,  в  своём  творчестве.;Ошибка: вера. Нужно использовать: родительный падеж. Правильно: веры
Уже несколько ночей подряд с ним была лихорадка. ;Предложение правильное.
На  улицах  можно  встретить  старушку  цветов,  кофейню  повсюду,  в  супермаркете  аккуратно  положить  корм  для  кошек  и  собак.;Ошибка: кофейню. Нужно использовать: родительный падеж. Правильно: кофейни
Тогда  мой  папа  был  юноша  и  рокер  с  длинными  волосами  и  кожаной  одежды.;Ошибка: одежды. Нужно использовать: творительный падеж. Правильно: одеждой
Они записывают его номер , фотографируют и добавляют в свою коллекцию .;Ошибка: номер. Нужно использовать: винительный падеж. Правильно: номер
 Да, пожалуй, пойдём,  говорит бабушка,  почему ж не поехать ;Предложение правильное.
Я ездил в москвой и в Петербург .;Ошибка: москвой. Нужно использовать: винительный падеж. Правильно: Москву
веру хорошо знает немецкий и английский языки , но мы говорили только по-русски .;Ошибка: веру. Нужно использовать: именительный падеж. Правильно: Вера
Милая, я сейчас приду.;Предложение правильное.
Я сойду с ума ;Предложение правильное.
В январе 2008 ого года, благодаря акции Росприроднадзор России, проверили стоки и узнали, что количество вредных веществ в водой было 12 раз выше, чем норматив.;Ошибка: Росприроднадзор. Нужно использовать: родительный падеж. Правильно: Росприроднадзора
Князь приостановился.  У нашей общей знакомой тоже в Павловске дачка. ;Предложение правильное.
"Аглая остановилась, самой себе не веря, что она могла выговорить такое слово; но казалось, ей теперь было уже всё равно";Предложение правильное.
Был  очень  интересно  и  поэтому  я  рекомендую  все,  чтобы  жить  в  русской  семье.;Ошибка: все. Нужно использовать: дательный падеж. Правильно: всем
После  Олимпиада  в  Сочи  даже  Международный  олимпийский  комитет  желал,  что  в  будущем  бюджеты  уменьшатся,  и  чтобы  более  эффективно  пользуются  уже  существующей  инфраструктурой.;Ошибка: Олимпиада. Нужно использовать: родительный падеж. Правильно: Олимпиады
Было неофициально обещано открытие нового университета энергических наук в Хабаровске, и представители районных властей бесстыдно сразу согласились с этим подходом к сотрудничестве» после этого предложения.;Ошибка: сотрудничестве. Нужно использовать: дательный падеж. Правильно: сотрудничеству
Вам скажут нет,  и делать нечего.;Предложение правильное.
В одной из передач радиостанции Эхо Москвы», вышедшая в эфир 16 марта 2004 г., обсуждались проблемы современной российской молодежи.;Ошибка: вышедшая. Нужно использовать: родительный падеж. Правильно: вышедшей
Малоподвижный образ жизни в значительной мере влияет на на сердечно-сосудистую систему, вызывая уменьшение кровообращению в тканях организма, недостаточную сердечную деятельность и др.;Ошибка: кровообращению. Нужно использовать: родительный падеж. Правильно: кровообращения
Тут дело не в гостинцах. ;Предложение правильное.
Когда  я  езжу  по  городе,  я  люблю  смотреть  задание,  потому  что  они  очень  красивые.;Ошибка: городе. Нужно использовать: дательный падеж. Правильно: городу
Он стал думать о ней, о том, что она думает и чувствует. ;Предложение правильное.
И  еще  хочу  сказать:  учите,  уважайте  своих  учителям.;Ошибка: учителям. Нужно использовать: винительный падеж. Правильно: учителей
Председатель посмотрел на посетителя довольно рассеянно и заявил,  Неужели не узнаёте ;Предложение правильное.
Оно  будет  в  центре  Москва.;Ошибка: Москва. Нужно использовать: родительный падеж. Правильно: Москвы
Она невысокую , у неё очень густая шерсть , поэтому она может жить и находить траву в снегу даже тогда , когда морозы больше , чем минус 50 .;Ошибка: невысокую. Нужно использовать: именительный падеж. Правильно: невысокая
Как вы думаете, какими русские представляют американцев, что русские ожидают от американцев, как оценивают их характер, поведение Что с вашей стороны вы можете сделать, чтобы отношения между вами и русскими людьми, с которыми вы учитесь и живете, складывались доброжелательно, чтобы было взаимопонимание Вообще я думаю, что русские видят американцев как дружелюбные люди но они могут считают эту дружелюбность поверхностной и не глубокой.;Ошибка: что. Нужно использовать: родительный падеж. Правильно: чего
Вершинин (Маше и Ирине). ;Предложение правильное.
Брат Семён Семёныч во флигеле. ;Предложение правильное.
Но потом решил , что надо менять жизнью .;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь
Я тебе ещё раз говорю… Слышишь ;Предложение правильное.
И насколько это правдиво, решать вам, но я думаю, что мы все можем согласиться, что миллионам простым людям в мире, считая нас с вами, главное, чтобы прост не было войны, не холоной, не горячей.;Ошибка: людям. Нужно использовать: родительный падеж. Правильно: людей
Например,  в  Германии  никто  не  обратит  внимание  на  чеха,  а  в  Швеции   на  бельгийца.;Ошибка: внимание. Нужно использовать: родительный падеж. Правильно: внимания
Прямой смысл всегда относится к физическим разделениям или то, что отличает одно от другого.;Ошибка: то. Нужно использовать: дательный падеж. Правильно: тому
Он учил языками , чтобы больше знать .;Ошибка: языками. Нужно использовать: винительный падеж. Правильно: языки
Есть проблемы в переводе как референциальные значения.;Ошибка: в переводе. Нужно использовать: именительный падеж. Правильно: перевода,
Я вам давала задание подробно писать мне о том , куда вы ездили , где побывали , какие достопримечательности видели , какая была погода .;Ошибка: задание. Нужно использовать: винительный падеж. Правильно: задание
В барселону живёт её семья .;Ошибка: барселону. Нужно использовать: предложный падеж. Правильно: Барселоне
Для  Алисы  самый  главный  подарок   это  провести  вместе  времени  и  поехать  на  пример  на  общую  поездку.;Ошибка: времени. Нужно использовать: винительный падеж. Правильно: время
самого древний народ Сибири  эвенки .;Ошибка: самого. Нужно использовать: именительный падеж. Правильно: Самый
Я выключила компьютер и смотрела на зеркала.;Ошибка: на. Нужно использовать: винительный падеж. Правильно: в
Шымкент  старый  город  торговля  и  шымкентцы  известны  в  Казахстане  их  темперамента.;Ошибка: темперамента. Нужно использовать: творительный падеж. Правильно: темпераментом
В русской стихии есть какое-то национальное бескорыстие, жертвенность, неизвестная западным народам. ;Предложение правильное.
Ищу  люди,  которые  любят  велосипедные  прогулки.;Ошибка: люди. Нужно использовать: винительный падеж. Правильно: людей
мой муж работает программистом .;Ошибка: мой. Нужно использовать: именительный падеж. Правильно: Мой
Остап, розовый и спокойный, улыбался. ;Предложение правильное.
В 2010-омы году он начал учить русский язык и через год , в 2011-ом году , Димитрис приехал в Россию , чтобы учиться в театральном институте .;Ошибка: 2010-омы. Нужно использовать: предложный падеж. Правильно: 2010-ом
кондуктора сказал ему об этом .;Ошибка: кондуктора. Нужно использовать: именительный падеж. Правильно: Кондуктор
Это был молодой человек с острыми желаниями и, кажется, даже родившийся нервным. ;Предложение правильное.
Мы  ездим  в  отпуск  на  самолёт.;Ошибка: самолёт. Нужно использовать: винительный падеж. Правильно: самолёте
" Это дело важное; мы не дети... ";Предложение правильное.
Сознание твоё стало проясняться, и ты начал играть роль умирающего;Предложение правильное.
Я себя вижу больше пресмыкающим», чем орлом», основываясь на лекцию И. Хакаманда.;Ошибка: лекцию. Нужно использовать: предложный падеж. Правильно: лекции
Они  называли  например  война  с  Финляндией.;Ошибка: война. Нужно использовать: винительный падеж. Правильно: войну
У бедного Федотика всё сгорело, ничего не осталось...;Предложение правильное.
Мидхат снова станет визи рем. ;Предложение правильное.
Сейчас  как  я  могу  выйти  я  поехала  в  парке  с  моими  двоюродными  братиями,  я  не  видела  им  до  того  как  карантине  начала.;Ошибка: им. Нужно использовать: винительный падеж. Правильно: их
  А это что за новый у вас, Николай Николаевич, комендор-с ;Предложение правильное.
Счастлив тот, кто не замечает, лето теперь или зима. ;Предложение правильное.
Через пять минут он выбежал из дома. ;Предложение правильное.
Я  был  удивлён  когда  узнал  все  секреты  зеркало.;Ошибка: зеркало. Нужно использовать: родительный падеж. Правильно: зеркала
У меня есть мужа , сын и дочь .;Ошибка: мужа. Нужно использовать: именительный падеж. Правильно: муж
Едем назад, в Москву ;Предложение правильное.
Брат украшал его сухое изложение живописными деталями. ;Предложение правильное.
У  нас  в  Душанбе  нет  университет  для  повора  и  поэтому  хочу  поехать  в  Москва.;Ошибка: Москва. Нужно использовать: винительный падеж. Правильно: Москву
Дебора  говорила  о  том,  что  любовь  это  двигатель,  который  заставляет  нас  двигаться  вперед,  конечно,  существуют  разные  формы  любви  любовь  между  влюбленными  любовь  к  родителям  к  детям  к  друзьям  и  т. д.  Она  говорила,  что  любовь  заставляет  нас  жить,  бороться  и   любовь -  причина,  по  которой  мы  встаем  с  кровати  по  утрам  и  она  наполняет  нам  энергии,  необходимой  для  достижения  наших  целей.;Ошибка: нам. Нужно использовать: винительный падеж. Правильно: нас
