Input;Output;part of speech;number
Вечером я читаю журналу , смотрю телевизор и думаю ... Фёдор ужинает , а потом спит .;Ошибка: журналу. Нужно использовать: винительный падеж. Правильно: журналы;NOUN;Plur
Рано утром я ужинаю , а фёдора завтракает .;Ошибка: фёдора. Нужно использовать: именительный падеж. Правильно: Фёдор;NOUN;Sing
кристиана играет на гитаре .;Ошибка: кристиана. Нужно использовать: именительный падеж. Правильно: Кристиан;NOUN;Sing
студента думает об экзамене .;Ошибка: студента. Нужно использовать: именительный падеж. Правильно: Студент;NOUN;Sing
О чем думает студента ?;Ошибка: студента. Нужно использовать: именительный падеж. Правильно: студент;NOUN;Sing
подругу говорят о книге .;Ошибка: подругу. Нужно использовать: именительный падеж. Правильно: Подруги;NOUN;Plur
О чем говорят подругу ?;Ошибка: подругу. Нужно использовать: именительный падеж. Правильно: подруги;NOUN;Plur
О чём пишут блогеров ?;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: блогеры;NOUN;Plur
Вы знаете , что значит слово « блогер » ?;Ошибка: слово. Нужно использовать: винительный падеж. Правильно: слово;NOUN;Sing
Сейчас блогера — это профессия .;Ошибка: блогера. Нужно использовать: именительный падеж. Правильно: блогер;NOUN;Sing
блогеров могут работать дома , а могут работать в офисе , могут работать в кафе или на пляже в Таиланде .;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: Блогеры;NOUN;Plur
Что делают блогеров ?;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: блогеры;NOUN;Plur
блогеров пишут статьи в Интернете , в « Инстаграме » , в « Фейсбуке » или в « ВКонтакте » или публикуют ролики на « Ютубе » .;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: Блогеры;NOUN;Plur
Они пишут обо всё : они пишут о спорте и о погоде , о работе и еде , о литературе и музыке , об одежде и бизнесе .;Ошибка: всё. Нужно использовать: винительный падеж. Правильно: всём;PRON;Sing
Меня зовут клауса .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус;NOUN;Sing
Я живу в австрию .;Ошибка: австрию. Нужно использовать: предложный падеж. Правильно: Австрии;NOUN;Sing
Я бариста .;Ошибка: бариста. Нужно использовать: именительный падеж. Правильно: бариста;NOUN;Sing
Вы думаете , я студента ?;Ошибка: студента. Нужно использовать: именительный падеж. Правильно: студент;NOUN;Sing
Да , это так. Я бариста днём и студент вечером .;Ошибка: бариста. Нужно использовать: винительный падеж. Правильно: бариста;NOUN;Sing
Я работаю день и учусь в университете вечером .;Ошибка: день. Нужно использовать: винительный падеж. Правильно: днём;NOUN;Sing
Знаете , какую мой обычный день ?;Ошибка: какую. Нужно использовать: именительный падеж. Правильно: какой;PRON;Sing
Рано утром я завтракаю , делаю вкусного кофе и читаю новости .;Ошибка: вкусного. Нужно использовать: винительный падеж. Правильно: вкусный;ADJ;Sing
Я делаю кофе !;Ошибка: кофе. Нужно использовать: винительный падеж. Правильно: кофе;NOUN;Sing
Очень вкусного кофе .;Ошибка: вкусного. Нужно использовать: именительный падеж. Правильно: вкусный;ADJ;Sing
менеджеров , журналисты , преподаватели , врачи , программисты тоже очень любят кофе , поэтому утром я готовлю много кофе .;Ошибка: менеджеров. Нужно использовать: именительный падеж. Правильно: Менеджеры;NOUN;Plur
день перерыв ─ я обедаю .;Ошибка: день. Нужно использовать: именительный падеж. Правильно: Днём;NOUN;Sing
Обычно на обедом я ем салат , рыбу и макароны .;Ошибка: обедом. Нужно использовать: винительный падеж. Правильно: обед;NOUN;Sing
Ещё я люблю борщом и пельмени .;Ошибка: борщом. Нужно использовать: винительный падеж. Правильно: борщ;NOUN;Sing
Потом я отдыхаю : я немного гуляю , читаю журнал или книгу .;Ошибка: журнал. Нужно использовать: винительный падеж. Правильно: журнал;NOUN;Sing
Делаю домашнее задание , потому что я изучаю русский язык .;Ошибка: домашнее. Нужно использовать: винительный падеж. Правильно: домашнее;ADJ;Sing
Вечером я учусь в университет .;Ошибка: университет. Нужно использовать: предложный падеж. Правильно: университете;NOUN;Sing
Я изучаю биологией , потому что я очень люблю природу .;Ошибка: биологией. Нужно использовать: винительный падеж. Правильно: биологию;NOUN;Sing
Это значит , что вы очень активного человек .;Ошибка: активного. Нужно использовать: именительный падеж. Правильно: активный;ADJ;Sing
Вы оптимиста .;Ошибка: оптимиста. Нужно использовать: именительный падеж. Правильно: оптимист;NOUN;Sing
Вы любите жизнью и всё новое и интересное .;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь;NOUN;Sing
вашим любимый цвет белый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш;PRON;Sing
Тогда вы очень аккуратного человек .;Ошибка: аккуратного. Нужно использовать: именительный падеж. Правильно: аккуратный;ADJ;Sing
вашу квартира и одежда всегда чистые .;Ошибка: вашу. Нужно использовать: именительный падеж. Правильно: Ваша;PRON;Sing
