Input;Output
Вечером я читаю журналу , смотрю телевизор и думаю ... Фёдор ужинает , а потом спит .;Ошибка: журналу. Нужно использовать: винительный падеж. Правильно: журналы
Рано утром я ужинаю , а фёдора завтракает .;Ошибка: фёдора. Нужно использовать: именительный падеж. Правильно: Фёдор
кристиана играет на гитаре .;Ошибка: кристиана. Нужно использовать: именительный падеж. Правильно: Кристиан
студента думает об экзамене .;Ошибка: студента. Нужно использовать: именительный падеж. Правильно: Студент
О чем думает студента ?;Ошибка: студента. Нужно использовать: именительный падеж. Правильно: студент
подругу говорят о книге .;Ошибка: подругу. Нужно использовать: именительный падеж. Правильно: Подруги
О чем говорят подругу ?;Ошибка: подругу. Нужно использовать: именительный падеж. Правильно: подруги
О чём пишут блогеров ?;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: блогеры
Вы знаете , что значит слово « блогер » ?;Ошибка: слово. Нужно использовать: винительный падеж. Правильно: слово
Сейчас блогера — это профессия .;Ошибка: блогера. Нужно использовать: именительный падеж. Правильно: блогер
блогеров могут работать дома , а могут работать в офисе , могут работать в кафе или на пляже в Таиланде .;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: Блогеры
Что делают блогеров ?;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: блогеры
блогеров пишут статьи в Интернете , в « Инстаграме » , в « Фейсбуке » или в « ВКонтакте » или публикуют ролики на « Ютубе » .;Ошибка: блогеров. Нужно использовать: именительный падеж. Правильно: Блогеры
Они пишут обо всё : они пишут о спорте и о погоде , о работе и еде , о литературе и музыке , об одежде и бизнесе .;Ошибка: всё. Нужно использовать: винительный падеж. Правильно: всём
Меня зовут клауса .;Ошибка: клауса. Нужно использовать: именительный падеж. Правильно: Клаус
Я живу в австрию .;Ошибка: австрию. Нужно использовать: предложный падеж. Правильно: Австрии
Я бариста .;Ошибка: бариста. Нужно использовать: именительный падеж. Правильно: бариста
Вы думаете , я студента ?;Ошибка: студента. Нужно использовать: именительный падеж. Правильно: студент
Да , это так. Я бариста днём и студент вечером .;Ошибка: бариста. Нужно использовать: винительный падеж. Правильно: бариста
Я работаю день и учусь в университете вечером .;Ошибка: день. Нужно использовать: винительный падеж. Правильно: днём
Знаете , какую мой обычный день ?;Ошибка: какую. Нужно использовать: именительный падеж. Правильно: какой
Рано утром я завтракаю , делаю вкусного кофе и читаю новости .;Ошибка: вкусного. Нужно использовать: винительный падеж. Правильно: вкусный
Я делаю кофе !;Ошибка: кофе. Нужно использовать: винительный падеж. Правильно: кофе
Очень вкусного кофе .;Ошибка: вкусного. Нужно использовать: именительный падеж. Правильно: вкусный
менеджеров , журналисты , преподаватели , врачи , программисты тоже очень любят кофе , поэтому утром я готовлю много кофе .;Ошибка: менеджеров. Нужно использовать: именительный падеж. Правильно: Менеджеры
день перерыв ─ я обедаю .;Ошибка: день. Нужно использовать: именительный падеж. Правильно: Днём
Обычно на обедом я ем салат , рыбу и макароны .;Ошибка: обедом. Нужно использовать: винительный падеж. Правильно: обед
Ещё я люблю борщом и пельмени .;Ошибка: борщом. Нужно использовать: винительный падеж. Правильно: борщ
Потом я отдыхаю : я немного гуляю , читаю журнал или книгу .;Ошибка: журнал. Нужно использовать: винительный падеж. Правильно: журнал
Делаю домашнее задание , потому что я изучаю русский язык .;Ошибка: домашнее. Нужно использовать: винительный падеж. Правильно: домашнее
Вечером я учусь в университет .;Ошибка: университет. Нужно использовать: предложный падеж. Правильно: университете
Я изучаю биологией , потому что я очень люблю природу .;Ошибка: биологией. Нужно использовать: винительный падеж. Правильно: биологию
Это значит , что вы очень активного человек .;Ошибка: активного. Нужно использовать: именительный падеж. Правильно: активный
Вы оптимиста .;Ошибка: оптимиста. Нужно использовать: именительный падеж. Правильно: оптимист
Вы любите жизнью и всё новое и интересное .;Ошибка: жизнью. Нужно использовать: винительный падеж. Правильно: жизнь
вашим любимый цвет белый ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
Тогда вы очень аккуратного человек .;Ошибка: аккуратного. Нужно использовать: именительный падеж. Правильно: аккуратный
вашу квартира и одежда всегда чистые .;Ошибка: вашу. Нужно использовать: именительный падеж. Правильно: Ваша
Вы очень интересного человек .;Ошибка: интересного. Нужно использовать: именительный падеж. Правильно: интересный
Вы любите баланс и гармонию .;Ошибка: баланс. Нужно использовать: винительный падеж. Правильно: баланс
Вы любите музыкой и поэзию .;Ошибка: музыкой. Нужно использовать: винительный падеж. Правильно: музыку
Вы любите розового ?;Ошибка: розового. Нужно использовать: винительный падеж. Правильно: розовый
Это вашим любимый цвет ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: ваш
Вы очень романтичного и немного наивный человек .;Ошибка: романтичного. Нужно использовать: именительный падеж. Правильно: романтичный
Вы оптимиста и экстраверт .;Ошибка: оптимиста. Нужно использовать: именительный падеж. Правильно: оптимист
Вам нравится театр и балет .;Ошибка: театр. Нужно использовать: именительный падеж. Правильно: театр
вашим любимый цвет зелёный ?;Ошибка: вашим. Нужно использовать: именительный падеж. Правильно: Ваш
